"","code","game_type","rival","pay_competitive","n"
"368","sujeto_0028207","individual","1","3",2
"369","sujeto_0028207","individual","2","1",2
"370","sujeto_0028207","individual","3","1",2
"371","sujeto_0028207","individual","3","2",3
"372","sujeto_0028207","individual","3","3",1
"373","sujeto_0028207","individual","3","4",2
"374","sujeto_0028207","individual","4","1",4
"375","sujeto_0028207","individual","4","2",2
"376","sujeto_0028207","individual","4","3",4
"377","sujeto_0029146","individual","1","1",8
"378","sujeto_0029146","individual","1","2",8
"379","sujeto_0029146","individual","1","3",8
"380","sujeto_0029146","individual","1","4",8
"381","sujeto_0029146","individual","2","1",8
"382","sujeto_0029146","individual","2","2",8
"383","sujeto_0029146","individual","2","3",8
"384","sujeto_0029146","individual","2","4",8
"385","sujeto_0029146","individual","3","1",8
"386","sujeto_0029146","individual","3","2",8
"387","sujeto_0029146","individual","3","3",8
"388","sujeto_0029146","individual","3","4",8
"389","sujeto_0029146","individual","4","1",8
"390","sujeto_0029146","individual","4","2",8
"391","sujeto_0029146","individual","4","3",8
"392","sujeto_0029146","individual","4","4",8
"393","sujeto_0030383","competitive","1","1",6
"394","sujeto_0030383","competitive","1","2",5
"395","sujeto_0030383","competitive","1","3",5
"396","sujeto_0030383","competitive","1","4",5
"397","sujeto_0030383","competitive","2","1",8
"398","sujeto_0030383","competitive","2","2",8
"399","sujeto_0030383","competitive","2","3",8
"400","sujeto_0030383","competitive","2","4",8
"401","sujeto_0030383","competitive","3","1",8
"402","sujeto_0030383","competitive","3","2",8
"403","sujeto_0030383","competitive","3","3",8
"404","sujeto_0030383","competitive","3","4",8
"405","sujeto_0030383","competitive","4","1",7
"406","sujeto_0030383","competitive","4","2",8
"407","sujeto_0030383","competitive","4","3",8
"408","sujeto_0030383","competitive","4","4",8
"409","sujeto_0030383","individual","1","1",2
"410","sujeto_0030383","individual","1","2",3
"411","sujeto_0030383","individual","1","3",3
"412","sujeto_0030383","individual","1","4",3
"413","sujeto_0030383","individual","4","1",1
"414","sujeto_0030459","competitive","1","1",8
"415","sujeto_0030459","competitive","1","2",8
"416","sujeto_0030459","competitive","1","3",8
"417","sujeto_0030459","competitive","1","4",8
"418","sujeto_0030459","competitive","2","1",8
"419","sujeto_0030459","competitive","2","2",8
"420","sujeto_0030459","competitive","2","3",8
"421","sujeto_0030459","competitive","2","4",8
"422","sujeto_0030459","competitive","3","1",7
"423","sujeto_0030459","competitive","3","2",8
"424","sujeto_0030459","competitive","3","3",8
"425","sujeto_0030459","competitive","3","4",8
"426","sujeto_0030459","competitive","4","1",8
"427","sujeto_0030459","competitive","4","2",8
"428","sujeto_0030459","competitive","4","3",8
"429","sujeto_0030459","competitive","4","4",8
"430","sujeto_0030459","individual","3","1",1
"431","sujeto_0031826","competitive","1","1",3
"432","sujeto_0031826","competitive","1","2",3
"433","sujeto_0031826","competitive","1","3",7
"434","sujeto_0031826","competitive","1","4",8
"435","sujeto_0031826","competitive","2","2",4
"436","sujeto_0031826","competitive","2","3",6
"437","sujeto_0031826","competitive","2","4",7
"438","sujeto_0031826","competitive","3","1",1
"439","sujeto_0031826","competitive","3","2",5
"440","sujeto_0031826","competitive","3","3",6
"441","sujeto_0031826","competitive","3","4",7
"442","sujeto_0031826","competitive","4","2",4
"443","sujeto_0031826","competitive","4","3",5
"444","sujeto_0031826","competitive","4","4",6
"445","sujeto_0031826","individual","1","1",5
"446","sujeto_0031826","individual","1","2",5
"447","sujeto_0031826","individual","1","3",1
"448","sujeto_0031826","individual","2","1",8
"449","sujeto_0031826","individual","2","2",4
"450","sujeto_0031826","individual","2","3",2
"451","sujeto_0031826","individual","2","4",1
"452","sujeto_0031826","individual","3","1",7
"453","sujeto_0031826","individual","3","2",3
"454","sujeto_0031826","individual","3","3",2
"455","sujeto_0031826","individual","3","4",1
"456","sujeto_0031826","individual","4","1",8
