"codigo","Espectativa_propia","Espectativa_otros","Felicidad_1estrella","Felicidad_2estrellas ","Felicidad_3estrellas ","Felicidad_4estrellas ","Alivio_1estrella","Alivio_2estrellas","Alivio_3estrellas","Alivio_4estrellas","Vergüenza_1estrella","Vergüenza_2estrellas","Vergüenza_3estrellas","Vergüenza_4estrellas","Nerviosismo_1estrella","Nerviosismo_2estrellas","Nerviosismo_3estrellas","Nerviosismo_4estrellas","Tristeza_1estrella","Tristeza_2estrellas","Tristeza_3estrellas","Tristeza_4estrellas","Felicidad_bb","Felicidad_bm","Felicidad_mb","Felicidad_mm","Culpa_bb","Culpa_bm","Culpa_mb","Culpa_mm","Decepcion_bb","Decepcion_bm","Decepcion_mb","Decepcion_mm","Enojo_bb","Enojo_bm","Enojo_mb","Enojo_mm","Tristeza_bb","Tristeza_bm","Tristeza_mb","Tristeza_mm","Alivio_bb","Alivio_bm","Alivio_mb","Alivio_mm","Vergüenza_bb","Vergüenza_bm","Vergüenza_mb","Vergüenza_mm","Nerviosismo_bb","Nerviosismo_bm","Nerviosismo_mb","Nerviosismo_mm","Feliz","Enojada","Nerviosa","Triste","Culpable","Avergonzada","Decepcionada","Aliviada","Rendimiento_pos_propio","Rendimiento_pos_otros"
"sujeto_e29aeec5",3,6,2,4,5,3,1,2,2,5,1,3,3,5,2,2,3,6,2,1,2,4,7,4,2,1,0,2,5,0,0,0,3,0,0,0,6,0,0,0,4,0,6,7,0,0,0,0,6,0,0,0,7,0,2,0,7,0,0,7,3,1,1,5
"sujeto_fddffe87",3,5,8,7,7,5,6,6,5,3,0,0,0,0,5,5,6,7,0,0,0,0,3,8,1,5,0,0,5,0,0,0,7,4,0,0,7,4,0,0,5,0,5,8,0,5,0,0,4,3,2,0,5,3,5,0,6,0,2,8,2,3,4,7
"sujeto_d90f36d4",3,4,3,3,4,4,4,4,3,3,2,2,2,3,1,1,1,2,0,0,0,0,7,8,1,2,0,0,0,0,0,0,1,0,0,0,2,1,0,0,1,0,5,6,0,2,0,0,1,1,1,0,1,0,2,0,3,0,0,1,0,3,1,2
"sujeto_96083b42",6,7,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,4,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,1,4,6
"sujeto_151573d2",3,7,7,5,3,2,8,7,3,2,0,2,5,7,1,3,5,6,0,0,0,0,6,8,2,0,0,1,5,3,5,3,6,6,4,0,8,6,1,1,2,2,6,8,3,4,0,0,8,6,6,4,7,6,6,1,7,1,0,5,2,4,2,5
"sujeto_07280530",3,2,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,5,0,0,4,3
"sujeto_774f4a36",2,5,6,6,6,4,6,6,5,3,1,2,2,7,5,4,4,6,0,0,0,0,8,8,0,1,0,2,1,0,1,0,8,6,0,0,6,5,0,0,3,1,7,7,0,8,0,0,7,1,0,0,2,0,6,0,8,0,0,7,0,5,2,6
"sujeto_47e96e22",4,7,0,0,0,0,8,7,6,5,5,6,7,8,7,7,7,7,0,0,0,0,0,0,0,0,0,4,8,0,0,4,8,0,0,0,0,0,0,0,0,0,8,6,1,0,0,2,7,0,0,5,8,0,7,0,8,0,0,8,0,7,2,5
"sujeto_46315dbc",4,4,6,6,6,6,6,6,6,5,0,0,0,0,0,0,0,0,0,0,0,0,6,7,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,5,6,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,4,6,6
"sujeto_dcc3c5a9",1,4,4,4,4,2,3,3,3,1,4,4,8,8,0,0,0,0,2,2,2,4,5,5,5,3,0,0,2,0,0,0,5,5,0,0,2,2,0,0,0,0,0,0,0,0,1,1,8,1,0,0,3,0,0,0,2,0,4,4,3,0,0,4
"sujeto_39b35dcb",3,7,2,3,4,4,2,3,3,3,4,2,3,2,2,2,2,2,0,0,0,0,4,6,3,2,0,0,5,3,0,1,6,3,2,0,4,3,0,1,2,1,4,4,1,1,0,0,4,3,2,1,4,2,2,0,6,0,6,7,7,4,3,6
"sujeto_efe9883f",3,4,4,4,4,4,4,3,3,3,3,3,3,4,3,3,3,4,0,0,0,1,5,5,4,4,1,1,2,0,0,0,1,1,1,1,1,1,0,1,2,1,3,2,1,3,1,1,2,1,0,0,1,0,2,0,3,0,0,1,0,0,0,4
"sujeto_e97cf70e",1,6,7,7,7,7,6,6,5,5,0,0,0,0,5,5,5,5,0,0,0,0,7,4,3,4,0,4,0,0,0,1,2,3,0,0,0,0,0,2,3,3,5,6,3,3,0,4,3,4,3,4,3,1,7,0,5,0,1,3,0,4,2,6
"sujeto_2158631b",6,7,0,0,0,0,7,7,7,4,0,0,0,0,0,0,0,3,0,0,0,2,6,7,2,2,0,0,0,0,0,0,4,2,0,0,4,2,0,0,2,2,8,8,0,1,0,0,0,0,0,0,2,1,5,2,2,0,0,0,0,0,3,6
